variant,n,median,wins,fit_med,fit_total
pipeline-emsc1-x-osc3-compact,57,1.4655086428608153,11,0.3347644150053384,57.65313519901247
pipeline-emsc1-x-osc3-default,57,1.4655107744033506,10,5.853863441006979,812.2309737920004
pipeline-emsc1-x-osc2-compact,57,1.4655245170596312,11,0.3084649029915454,56.5038956880162
pipeline-emsc1-x-osc1-compact,57,1.4655297171024346,11,0.3273248260084074,55.64766527702159
pipeline-emsc1-x-osc2-default,57,1.465550019783981,10,6.020374072002596,824.2610131489928
pipeline-emsc1-x-osc1-default,57,1.4655573277163714,11,5.662907692996669,829.5216361499915
pipeline-emsc2-asls-osc3-compact,57,1.5527339881960829,9,0.5613624920079019,102.89259621102246
pipeline-emsc2-asls-osc2-compact,57,1.5527340162759447,9,0.5955904190050205,102.38191896592616
pipeline-emsc2-asls-osc2-default,57,1.5639225511839259,10,6.702015800998197,846.1723113489716
pipeline-emsc2-asls-osc1-default,57,1.591766478480971,10,7.090688488999149,835.6980869510153
pipeline-emsc2-asls-osc3-default,57,1.6114670727812948,9,6.135847673009266,833.3405748529622
pipeline-emsc2-x-osc2-default,57,1.619087233124478,9,5.244563636995736,796.4543232789583
pipeline-emsc2-x-osc1-default,57,1.6191539610775916,9,5.488170362004894,809.7825753709767
pipeline-emsc2-x-osc3-default,57,1.6193786114848312,10,5.836018396003055,797.0196491389797
pipeline-emsc2-x-osc2-compact,57,1.619567777862754,9,0.3630870850029168,58.29538563206734
pipeline-emsc2-x-osc3-compact,57,1.619666102425574,10,0.3030467219941783,55.98902442898543
pipeline-emsc2-x-osc1-compact,57,1.6199071949214696,9,0.315420915998402,58.35004863300128
pipeline-emsc2-asls-osc1-compact,57,1.6257606596388872,10,0.5795921120006824,103.23026022400882
pipeline-emsc1-x-x-compact,57,1.9093948788637862,9,0.2845076459925622,55.1052576390357
pipeline-emsc1-x-x-default,57,1.9093948788637862,9,6.80144918699807,834.0552135690232
pipeline-emsc1-asls-x-compact,57,2.172129297738039,8,0.5504674830008298,101.01860651606694
pipeline-emsc2-asls-x-compact,57,2.2209731158019226,5,0.5789383169903886,103.8072070779308
pipeline-emsc2-x-x-compact,57,2.3580852299147557,4,0.3069978560088202,55.437886139945476
pipeline-emsc2-asls-x-default,57,2.4605851348605934,3,6.030702899995958,844.2749557269854
pipeline-emsc2-x-x-default,57,2.468072568432252,3,5.861667303994182,812.1270276470023
pipeline-emsc1-asls-x-default,57,2.6442921790069223,8,6.085383644007379,878.2587983469857
nirs4all-POP-PLS-default,57,4.793222344242703,0,0.2485155399990617,109.57116864697309
