task,model,mode,operator_index,operator,grid_index,hyperparameter,cv_rmse_mean
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,6,7,0.8487798392023651
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,7,8,0.8472863448660902
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,8,9,0.8435451396848779
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,9,10,0.8437276484362538
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,10,11,0.8433276675548061
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,11,12,0.8435262551112249
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,12,13,0.8436440344263971
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,13,14,0.8440279715425578
Beer_OriginalExtract_60_KS,PLS,materialized,4,sg_d1_w21_p3,14,15,0.8440522154955415
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,0,1,2.638742079950648
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,1,2,2.7888282657491654
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,2,3,2.5864793216847386
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,3,4,2.463235525616101
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,4,5,2.449849247050497
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,5,6,2.441026803739198
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,6,7,2.435555339382566
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,7,8,2.4313101151441074
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,8,9,2.4287745554037152
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,9,10,2.4274141358515178
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,10,11,2.4277635347155715
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,11,12,2.4278679128905116
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,12,13,2.427919200903236
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,13,14,2.4279140615405557
Beer_OriginalExtract_60_KS,PLS,materialized,5,sg_d2_w11_p2,14,15,2.4279184479431373
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,0,1,0.7221009045803706
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,1,2,0.6355610643077904
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,2,3,0.6272593127747825
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,3,4,0.6291729892810058
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,4,5,0.628650708416634
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,5,6,0.6288761105691857
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,6,7,0.6287521493342
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,7,8,0.6288114895268626
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,8,9,0.6288223237561901
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,9,10,0.6288292861630347
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,10,11,0.62883324789455
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,11,12,0.6288338118861945
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,12,13,0.6288337951282627
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,13,14,0.6288338311601123
Beer_OriginalExtract_60_KS,PLS,materialized,6,detrend_d1,14,15,0.6288338958156775
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,0,1,0.7272829526384484
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,1,2,0.6382285221956346
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,2,3,0.6318771119632673
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,3,4,0.6333813809884181
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,4,5,0.6325469313539955
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,5,6,0.6327502616608656
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,6,7,0.6326707668456711
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,7,8,0.6327565732026759
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,8,9,0.6327665044125842
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,9,10,0.632776430653997
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,10,11,0.6327819552120587
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,11,12,0.6327828123573704
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,12,13,0.6327829203049999
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,13,14,0.632782986626493
Beer_OriginalExtract_60_KS,PLS,materialized,7,detrend_d2,14,15,0.6327830392123024
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,0,1,2.930598987938433
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,1,2,3.0103581995182727
Beer_OriginalExtract_60_KS,PLS,materialized,8,fd_d1,2,3,3.051855686621239
